"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11412","CT-01 - Cadastro realizado com sucesso","","Sun Mar 29 15:15:19 UTC 2026","passed","Sun Mar 29 15:15:31 UTC 2026","formularioSimples","Features","",""
"","2713","CT-03 - Limpar campos do formulário","","Sun Mar 29 15:15:34 UTC 2026","passed","Sun Mar 29 15:15:36 UTC 2026","formularioSimples","Features","",""
"","1962","CT-04 - Interação com o dropdown customizado","","Sun Mar 29 15:15:34 UTC 2026","passed","Sun Mar 29 15:15:36 UTC 2026","elementosBasicos","Features","",""
"","1824","CT-07 - Interação com o interruptor (switch) desativado","","Sun Mar 29 15:15:39 UTC 2026","passed","Sun Mar 29 15:15:41 UTC 2026","elementosBasicos","Features","",""
"","1764","CT-06 - Validar obrigatoriedade do campo Senha","","Sun Mar 29 15:15:42 UTC 2026","passed","Sun Mar 29 15:15:44 UTC 2026","formularioSimples","Features","",""
"","1686","CT-01 - Interação com o botão Clique aqui","","Sun Mar 29 15:15:29 UTC 2026","passed","Sun Mar 29 15:15:30 UTC 2026","elementosBasicos","Features","",""
"","9494","CT-00 - Validação visualizar página inicial","","Sun Mar 29 15:15:19 UTC 2026","passed","Sun Mar 29 15:15:29 UTC 2026","elementosBasicos","Features","",""
"","2930","CT-02 - Tentativa de cadastro sem aceitar os termos","","Sun Mar 29 15:15:31 UTC 2026","passed","Sun Mar 29 15:15:34 UTC 2026","formularioSimples","Features","",""
"","2506","CT-05 - Validar obrigatoriedade do campo Email","","Sun Mar 29 15:15:40 UTC 2026","passed","Sun Mar 29 15:15:42 UTC 2026","formularioSimples","Features","",""
"","3219","CT-04 - Validar obrigatoriedade do campo Nome","","Sun Mar 29 15:15:36 UTC 2026","passed","Sun Mar 29 15:15:40 UTC 2026","formularioSimples","Features","",""
"","1275","CT-05 - Interação com o slider de intervalo","","Sun Mar 29 15:15:36 UTC 2026","passed","Sun Mar 29 15:15:37 UTC 2026","elementosBasicos","Features","",""
"","2414","CT-07 - Validar erro de confirmação de senha divergente","","Sun Mar 29 15:15:44 UTC 2026","passed","Sun Mar 29 15:15:46 UTC 2026","formularioSimples","Features","",""
"","1711","CT-06 - Interação com o interruptor (switch) ativado","","Sun Mar 29 15:15:37 UTC 2026","passed","Sun Mar 29 15:15:39 UTC 2026","elementosBasicos","Features","",""
"","1681","CT-03 - Interação com o campo de texto","","Sun Mar 29 15:15:32 UTC 2026","passed","Sun Mar 29 15:15:34 UTC 2026","elementosBasicos","Features","",""
"","1671","CT-02 - Interação com o botão Duplo Clique","","Sun Mar 29 15:15:30 UTC 2026","passed","Sun Mar 29 15:15:32 UTC 2026","elementosBasicos","Features","",""
