"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1843","CT-04 - Interação com o dropdown customizado","","Sun Mar 29 15:05:46 UTC 2026","passed","Sun Mar 29 15:05:47 UTC 2026","elementosBasicos","Features","",""
"","1752","CT-01 - Interação com o botão Clique aqui","","Sun Mar 29 15:05:40 UTC 2026","passed","Sun Mar 29 15:05:42 UTC 2026","elementosBasicos","Features","",""
"","2934","CT-04 - Validar obrigatoriedade do campo Nome","","Sun Mar 29 15:05:48 UTC 2026","passed","Sun Mar 29 15:05:51 UTC 2026","formularioSimples","Features","",""
"","3085","CT-02 - Tentativa de cadastro sem aceitar os termos","","Sun Mar 29 15:05:42 UTC 2026","passed","Sun Mar 29 15:05:45 UTC 2026","formularioSimples","Features","",""
"","8817","CT-00 - Validação visualizar página inicial","","Sun Mar 29 15:05:31 UTC 2026","passed","Sun Mar 29 15:05:40 UTC 2026","elementosBasicos","Features","",""
"","10949","CT-01 - Cadastro realizado com sucesso","","Sun Mar 29 15:05:31 UTC 2026","passed","Sun Mar 29 15:05:42 UTC 2026","formularioSimples","Features","",""
"","1987","CT-02 - Interação com o botão Duplo Clique","","Sun Mar 29 15:05:42 UTC 2026","passed","Sun Mar 29 15:05:44 UTC 2026","elementosBasicos","Features","",""
"","1731","CT-06 - Interação com o interruptor (switch) ativado","","Sun Mar 29 15:05:49 UTC 2026","passed","Sun Mar 29 15:05:51 UTC 2026","elementosBasicos","Features","",""
"","2424","CT-07 - Validar erro de confirmação de senha divergente","","Sun Mar 29 15:05:56 UTC 2026","passed","Sun Mar 29 15:05:58 UTC 2026","formularioSimples","Features","",""
"","2314","CT-05 - Validar obrigatoriedade do campo Email","","Sun Mar 29 15:05:51 UTC 2026","passed","Sun Mar 29 15:05:54 UTC 2026","formularioSimples","Features","",""
"","1773","CT-07 - Interação com o interruptor (switch) desativado","","Sun Mar 29 15:05:51 UTC 2026","passed","Sun Mar 29 15:05:52 UTC 2026","elementosBasicos","Features","",""
"","1464","CT-05 - Interação com o slider de intervalo","","Sun Mar 29 15:05:47 UTC 2026","passed","Sun Mar 29 15:05:49 UTC 2026","elementosBasicos","Features","",""
"","2070","CT-06 - Validar obrigatoriedade do campo Senha","","Sun Mar 29 15:05:54 UTC 2026","passed","Sun Mar 29 15:05:56 UTC 2026","formularioSimples","Features","",""
"","3088","CT-03 - Limpar campos do formulário","","Sun Mar 29 15:05:45 UTC 2026","passed","Sun Mar 29 15:05:48 UTC 2026","formularioSimples","Features","",""
"","1799","CT-03 - Interação com o campo de texto","","Sun Mar 29 15:05:44 UTC 2026","passed","Sun Mar 29 15:05:46 UTC 2026","elementosBasicos","Features","",""
